variable,group,value
"De Cordova, Marsha",DEFRA,2
"De Cordova, Marsha",Department for Transport,6
"De Cordova, Marsha",Department of Health,2
"De Cordova, Marsha",DeXEU,2
"De Cordova, Marsha",DfE,5
"De Cordova, Marsha",DfID,2
"De Cordova, Marsha",DHSC,2
"De Cordova, Marsha",DWP,21
"De Cordova, Marsha",FCO,6
"De Cordova, Marsha",Home Office,1
"De Cordova, Marsha",MHCLG,3
"De Cordova, Marsha",Ministry of Justice,8
"De Cordova, Marsha",Prime Minister,13
"De Cordova, Marsha",Treasury,4
"De Cordova, Marsha",Wales Office,4
"De Piero, Gloria",BEIS,1
"De Piero, Gloria",DCMS,1
"De Piero, Gloria",Home Office,1
"De Piero, Gloria",MHCLG,1
"De Piero, Gloria",Ministry of Justice,16
"De Piero, Gloria",Prime Minister,2
"Debbonaire, Thangam",Attorney General,10
"Debbonaire, Thangam",BEIS,5
"Debbonaire, Thangam",Cabinet Office,2
"Debbonaire, Thangam",DCLG,2
"Debbonaire, Thangam",DDCMS,10
"Debbonaire, Thangam",Department for Transport,7
"Debbonaire, Thangam",DeXEU,16
"Debbonaire, Thangam",DfE,4
"Debbonaire, Thangam",DfID,4
"Debbonaire, Thangam",DHSC,1
"Debbonaire, Thangam",DIT,9
"Debbonaire, Thangam",DWP,2
"Debbonaire, Thangam",FCO,5
"Debbonaire, Thangam",Home Office,4
"Debbonaire, Thangam",House of Commons Commission,2
"Debbonaire, Thangam",MHCLG,2
"Debbonaire, Thangam",Minister for Women and Equalities,2
"Debbonaire, Thangam",Ministry of Defence,3
"Debbonaire, Thangam",Ministry of Justice,8
"Debbonaire, Thangam",Northern Ireland Office,2
"Debbonaire, Thangam",Prime Minister,10
"Debbonaire, Thangam",Treasury,4
"Debbonaire, Thangam",Wales Office,1
"Dent Coad, Emma",DCLG,2
"Dent Coad, Emma",DDCMS,2
"Dent Coad, Emma",Department for Transport,7
"Dent Coad, Emma",DeXEU,6
"Dent Coad, Emma",DfE,2
"Dent Coad, Emma",DfID,2
"Dent Coad, Emma",DHSC,6
"Dent Coad, Emma",Home Office,4
"Dent Coad, Emma",MHCLG,2
"Dent Coad, Emma",Minister for Women and Equalities,6
"Dent Coad, Emma",Prime Minister,4
"Dent Coad, Emma",Treasury,2
"Dent Coad, Emma",Wales Office,2
"Dhesi, Tanmanjeet Singh",Attorney General,2
"Dhesi, Tanmanjeet Singh",Cabinet Office,3
"Dhesi, Tanmanjeet Singh",DfE,6
"Dhesi, Tanmanjeet Singh",DfID,1
"Dhesi, Tanmanjeet Singh",DHSC,2
"Dhesi, Tanmanjeet Singh",DWP,2
"Dhesi, Tanmanjeet Singh",Home Office,10
"Dhesi, Tanmanjeet Singh",MHCLG,4
"Dhesi, Tanmanjeet Singh",Ministry of Justice,2
"Dhesi, Tanmanjeet Singh",Prime Minister,7
"Dhesi, Tanmanjeet Singh",Scotland Office,2
"Dhesi, Tanmanjeet Singh",Wales Office,7
"Docherty, Leo",Attorney General,4
"Docherty, Leo",Cabinet Office,2
"Docherty, Leo",DDCMS,4
"Docherty, Leo",DeXEU,1
"Docherty, Leo",DHSC,1
"Docherty, Leo",DIT,3
"Docherty, Leo",DWP,2
"Docherty, Leo",FCO,3
"Docherty, Leo",Ministry of Defence,13
"Docherty, Leo",Prime Minister,11
"Docherty, Leo",Treasury,1
"Docherty-Hughes, Martin",BEIS,3
"Docherty-Hughes, Martin",DeXEU,2
"Docherty-Hughes, Martin",DfID,2
"Docherty-Hughes, Martin",DIT,1
"Docherty-Hughes, Martin",FCO,5
"Docherty-Hughes, Martin",Home Office,1
"Docherty-Hughes, Martin",Minister for Women and Equalities,1
"Docherty-Hughes, Martin",Ministry of Defence,16
"Docherty-Hughes, Martin",Northern Ireland Office,6
"Docherty-Hughes, Martin",Prime Minister,3
"Docherty-Hughes, Martin",Scotland Office,5
"Docherty-Hughes, Martin",Wales Office,3
"Dodds, Anneliese",DHSC,2
"Dodds, Anneliese",DIT,2
"Dodds, Anneliese",FCO,1
"Dodds, Anneliese",Home Office,2
"Dodds, Anneliese",MHCLG,2
"Dodds, Anneliese",Prime Minister,1
"Dodds, Anneliese",Treasury,15
"Dodds, Jane",DeXEU,1
"Dodds, Nigel",BEIS,1
"Dodds, Nigel",DeXEU,1
"Dodds, Nigel",FCO,8
"Dodds, Nigel",Northern Ireland Office,32
"Dodds, Nigel",Prime Minister,21
"Donaldson, Jeffrey M",Northern Ireland Office,8
"Donaldson, Jeffrey M",Prime Minister,2
"Donelan, Michelle",BEIS,5
"Donelan, Michelle",Cabinet Office,1
"Donelan, Michelle",Church Commissioners,2
"Donelan, Michelle",DDCMS,3
"Donelan, Michelle",DeXEU,2
"Donelan, Michelle",DfE,8
"Donelan, Michelle",DfID,1
"Donelan, Michelle",DHSC,3
"Donelan, Michelle",DWP,4
"Donelan, Michelle",MHCLG,2
"Donelan, Michelle",Ministry of Defence,6
"Donelan, Michelle",Northern Ireland Office,4
"Donelan, Michelle",Prime Minister,11
"Donelan, Michelle",Treasury,2
"Donelan, Michelle",Wales Office,2
"Dorries, Nadine",Prime Minister,2
"Double, Steve",BEIS,7
"Double, Steve",Cabinet Office,2
"Double, Steve",Church Commissioners,2
"Double, Steve",DCLG,2
"Double, Steve",DDCMS,5
"Double, Steve",DEFRA,6
"Double, Steve",Department for Transport,10
"Double, Steve",DeXEU,9
"Double, Steve",DfE,4
"Double, Steve",DHSC,4
"Double, Steve",DIT,1
"Double, Steve",DWP,10
"Double, Steve",FCO,5
"Double, Steve",Home Office,8
"Double, Steve",MHCLG,9
"Double, Steve",Minister for Women and Equalities,2
"Double, Steve",Ministry of Defence,4
"Double, Steve",Ministry of Justice,2
"Double, Steve",Prime Minister,12
"Double, Steve",Treasury,9
"Double, Steve",Wales Office,2
"Doughty, Stephen",Cabinet Office,2
"Doughty, Stephen",DCMS,2
"Doughty, Stephen",Department for Transport,1
"Doughty, Stephen",DeXEU,2
"Doughty, Stephen",DfID,4
"Doughty, Stephen",DWP,4
"Doughty, Stephen",FCO,2
"Doughty, Stephen",Home Office,6
"Doughty, Stephen",Ministry of Defence,8
"Doughty, Stephen",Prime Minister,4
"Doughty, Stephen",Wales Office,7
"Dowd, Peter",Treasury,31
"Dowden, Oliver",DfE,2
"Dowden, Oliver",FCO,1
"Dowden, Oliver",Home Office,2
"Dowden, Oliver",Ministry of Justice,2
"Dowden, Oliver",Prime Minister,4
"Drax, Richard",Cabinet Office,2
"Drax, Richard",DHSC,1
"Drax, Richard",FCO,1
"Drax, Richard",Home Office,2
"Drax, Richard",Ministry of Defence,3
"Drax, Richard",Ministry of Justice,1
"Drax, Richard",Prime Minister,11
"Drax, Richard",Treasury,1
"Drew, David",Church Commissioners,11
"Drew, David",DDCMS,1
"Drew, David",DEFRA,17
"Drew, David",Department for Transport,2
"Drew, David",Department of Health,1
"Drew, David",DeXEU,2
"Drew, David",DfE,2
"Drew, David",DfID,1
"Drew, David",DIT,2
"Drew, David",DWP,1
"Drew, David",FCO,2
"Drew, David",Home Office,2
"Drew, David",Ministry of Defence,1
"Drew, David",Ministry of Justice,3
"Drew, David",Prime Minister,8
"Drew, David",Wales Office,1
"Dromey, Jack",BEIS,6
"Dromey, Jack",DeXEU,2
"Dromey, Jack",DfE,1
"Dromey, Jack",DWP,15
"Dromey, Jack",Home Office,3
"Dromey, Jack",MHCLG,2
"Dromey, Jack",Prime Minister,8
"Dromey, Jack",Wales Office,1
"Duddridge, James",BEIS,4
"Duddridge, James",Cabinet Office,6
"Duddridge, James",DDCMS,2
"Duddridge, James",Department for Transport,4
"Duddridge, James",DfE,1
"Duddridge, James",DfID,6
"Duddridge, James",DHSC,2
"Duddridge, James",DIT,3
"Duddridge, James",FCO,9
"Duddridge, James",Home Office,6
"Duddridge, James",MHCLG,2
"Duddridge, James",Minister for Women and Equalities,2
"Duddridge, James",Prime Minister,2
"Duddridge, James",Wales Office,1
"Duffield, Rosie",Cabinet Office,2
"Duffield, Rosie",DDCMS,2
"Duffield, Rosie",Department for Transport,2
"Duffield, Rosie",DeXEU,2
"Duffield, Rosie",DfE,4
"Duffield, Rosie",DfID,2
"Duffield, Rosie",DHSC,3
"Duffield, Rosie",DIT,2
"Duffield, Rosie",FCO,2
"Duffield, Rosie",Home Office,1
"Duffield, Rosie",MHCLG,5
"Duffield, Rosie",Ministry of Defence,3
"Duffield, Rosie",Prime Minister,8
"Duguid, David",BEIS,4
"Duguid, David",Cabinet Office,4
"Duguid, David",DDCMS,3
"Duguid, David",DEFRA,12
"Duguid, David",Department for Transport,3
"Duguid, David",DeXEU,21
"Duguid, David",DHSC,4
"Duguid, David",DWP,1
"Duguid, David",Home Office,6
"Duguid, David",Ministry of Defence,2
"Duguid, David",Northern Ireland Office,2
"Duguid, David",Prime Minister,10
"Duguid, David",Scotland Office,18
"Duguid, David",Treasury,1
"Duguid, David",Wales Office,1
"Duncan Smith, Iain",BEIS,1
"Duncan Smith, Iain",Department for Transport,1
"Duncan Smith, Iain",DeXEU,1
"Duncan Smith, Iain",DWP,1
"Duncan Smith, Iain",FCO,1
"Duncan Smith, Iain",Ministry of Justice,1
"Duncan Smith, Iain",Prime Minister,5
"Duncan Smith, Iain",Treasury,2
"Dunne, Philip",BEIS,6
"Dunne, Philip",Cabinet Office,2
"Dunne, Philip",Church Commissioners,2
"Dunne, Philip",DEFRA,3
"Dunne, Philip",DeXEU,6
"Dunne, Philip",DfE,4
"Dunne, Philip",DfID,4
"Dunne, Philip",DHSC,9
"Dunne, Philip",DIT,2
"Dunne, Philip",FCO,7
"Dunne, Philip",Ministry of Defence,5
"Dunne, Philip",Ministry of Justice,3
"Dunne, Philip",Prime Minister,2
"Dunne, Philip",Treasury,7
"Dunne, Philip",Wales Office,2
"Eagle, Angela",BEIS,2
"Eagle, Angela",DeXEU,1
"Eagle, Angela",DHSC,4
"Eagle, Angela",DWP,1
"Eagle, Angela",MHCLG,1
"Eagle, Angela",Prime Minister,4
"Eagle, Maria",BEIS,2
"Eagle, Maria",DDCMS,2
"Eagle, Maria",Department for Transport,3
"Eagle, Maria",DfE,2
"Eagle, Maria",DWP,2
"Eagle, Maria",Home Office,2
"Eagle, Maria",MHCLG,1
"Eagle, Maria",Minister for Women and Equalities,1
"Edwards, Jonathan",DEFRA,1
"Edwards, Jonathan",Department for Transport,2
"Edwards, Jonathan",DeXEU,3
"Edwards, Jonathan",DfE,1
"Edwards, Jonathan",DIT,4
"Edwards, Jonathan",FCO,6
"Edwards, Jonathan",Home Office,1
"Edwards, Jonathan",Ministry of Defence,3
"Edwards, Jonathan",Prime Minister,8
"Edwards, Jonathan",Treasury,7
"Edwards, Jonathan",Wales Office,12
"Efford, Clive",DDCMS,9
"Efford, Clive",DEFRA,1
"Efford, Clive",Department for Transport,13
"Efford, Clive",Department of Health,2
"Efford, Clive",DeXEU,6
"Efford, Clive",DfE,6
"Efford, Clive",DHSC,3
"Efford, Clive",DIT,1
"Efford, Clive",DWP,3
"Efford, Clive",FCO,2
"Efford, Clive",Home Office,2
"Efford, Clive",MHCLG,7
"Efford, Clive",Northern Ireland Office,1
"Efford, Clive",Prime Minister,3
"Efford, Clive",Treasury,1
"Efford, Clive",Wales Office,1
"Elliott, Julie",Cabinet Office,2
"Elliott, Julie",DDCMS,4
"Elliott, Julie",DfE,2
"Elliott, Julie",DWP,2
"Elliott, Julie",FCO,8
"Elliott, Julie",Home Office,6
"Elliott, Julie",MHCLG,2
"Elliott, Julie",Ministry of Defence,4
"Elliott, Julie",Prime Minister,4
"Elliott, Julie",Treasury,2
"Ellman, Louise",DWP,2
"Ellman, Louise",FCO,4
"Ellman, Louise",Home Office,1
"Ellman, Louise",Prime Minister,6
"Elmore, Christopher",Attorney General,2
"Elmore, Christopher",BEIS,7
"Elmore, Christopher",Cabinet Office,9
"Elmore, Christopher",DDCMS,5
"Elmore, Christopher",DEFRA,5
"Elmore, Christopher",Department for Transport,10
"Elmore, Christopher",DeXEU,5
"Elmore, Christopher",DfID,2
"Elmore, Christopher",DHSC,3
"Elmore, Christopher",DIT,11
"Elmore, Christopher",DWP,7
"Elmore, Christopher",FCO,3
"Elmore, Christopher",Home Office,5
"Elmore, Christopher",House of Commons Commission,3
"Elmore, Christopher",Minister for Women and Equalities,10
"Elmore, Christopher",Ministry of Defence,3
"Elmore, Christopher",Ministry of Justice,11
"Elmore, Christopher",Northern Ireland Office,1
"Elmore, Christopher",Prime Minister,10
"Elmore, Christopher",Scotland Office,2
"Elmore, Christopher",Treasury,4
"Elmore, Christopher",Wales Office,11
"Elphicke, Charlie",Cabinet Office,3
"Elphicke, Charlie",DEFRA,1
"Elphicke, Charlie",Department for Transport,1
"Elphicke, Charlie",DeXEU,1
"Elphicke, Charlie",DfE,5
"Elphicke, Charlie",DfID,1
"Elphicke, Charlie",Home Office,10
"Elphicke, Charlie",Ministry of Justice,10
"Elphicke, Charlie",Northern Ireland Office,7
"Elphicke, Charlie",Prime Minister,10
"Elphicke, Charlie",Scotland Office,1
"Elphicke, Charlie",Treasury,19
"Elphicke, Charlie",Wales Office,3
"Esterson, Bill",BEIS,12
"Esterson, Bill",Cabinet Office,5
"Esterson, Bill",DDCMS,4
"Esterson, Bill",DEFRA,2
"Esterson, Bill",Department for Transport,6
"Esterson, Bill",Department of Health,1
"Esterson, Bill",DeXEU,2
"Esterson, Bill",DfE,3
"Esterson, Bill",DfID,2
"Esterson, Bill",DHSC,5
"Esterson, Bill",DIT,16
"Esterson, Bill",Home Office,4
"Esterson, Bill",MHCLG,2
"Esterson, Bill",Minister for Women and Equalities,4
"Esterson, Bill",Ministry of Defence,2
"Esterson, Bill",Ministry of Justice,3
"Esterson, Bill",Prime Minister,10
"Esterson, Bill",Treasury,3
"Eustice, George",DEFRA,4
"Eustice, George",Home Office,1
"Eustice, George",Prime Minister,1
"Evans, Chris",BEIS,1
"Evans, Chris",Cabinet Office,1
"Evans, Chris",DHSC,2
"Evans, Chris",FCO,14
"Evans, Chris",Ministry of Defence,2
"Evans, Chris",Ministry of Justice,2
"Evans, Chris",Prime Minister,3
"Evans, Chris",Treasury,5
"Evans, Chris",Wales Office,13
"Evans, Nigel",BEIS,1
"Evans, Nigel",Cabinet Office,2
"Evans, Nigel",Church Commissioners,1
"Evans, Nigel",DEFRA,1
"Evans, Nigel",Department of Health,1
"Evans, Nigel",DeXEU,5
"Evans, Nigel",DfID,1
"Evans, Nigel",DIT,2
"Evans, Nigel",FCO,1
"Evans, Nigel",HM Household,1
"Evans, Nigel",Home Office,1
"Evans, Nigel",Prime Minister,11
"Evennett, David",Cabinet Office,10
"Evennett, David",DDCMS,1
"Evennett, David",DfE,14
"Evennett, David",DfID,10
"Evennett, David",DHSC,4
"Evennett, David",FCO,4
"Evennett, David",Home Office,4
"Evennett, David",Minister for Women and Equalities,1
"Evennett, David",Ministry of Defence,6
"Evennett, David",Ministry of Justice,2
"Evennett, David",Northern Ireland Office,1
"Evennett, David",Prime Minister,3
"Evennett, David",Treasury,2
"Fabricant, Michael",Attorney General,7
"Fabricant, Michael",BEIS,8
"Fabricant, Michael",Cabinet Office,9
"Fabricant, Michael",Church Commissioners,7
"Fabricant, Michael",DCLG,2
"Fabricant, Michael",DCMS,1
"Fabricant, Michael",DDCMS,10
"Fabricant, Michael",DEFRA,2
"Fabricant, Michael",Department for Transport,4
"Fabricant, Michael",DeXEU,5
"Fabricant, Michael",DfE,8
"Fabricant, Michael",DfID,9
"Fabricant, Michael",DHSC,3
"Fabricant, Michael",DIT,9
"Fabricant, Michael",DWP,3
"Fabricant, Michael",Electoral Commission,1
"Fabricant, Michael",FCO,8
"Fabricant, Michael",Home Office,12
"Fabricant, Michael",House of Commons Commission,1
"Fabricant, Michael",MHCLG,5
"Fabricant, Michael",Minister for Women and Equalities,2
"Fabricant, Michael",Ministry of Defence,8
"Fabricant, Michael",Ministry of Justice,2
"Fabricant, Michael",Northern Ireland Office,1
"Fabricant, Michael",Prime Minister,15
"Fabricant, Michael",Treasury,6
"Fabricant, Michael",Wales Office,16
"Fallon, Michael",Ministry of Defence,1
"Farrelly, Paul",Cabinet Office,1
"Farrelly, Paul",DCMS,1
"Farrelly, Paul",DDCMS,1
"Farron, Tim",BEIS,8
"Farron, Tim",Cabinet Office,2
"Farron, Tim",DDCMS,1
"Farron, Tim",DEFRA,8
"Farron, Tim",Department for Transport,4
"Farron, Tim",Department of Health,3
"Farron, Tim",DeXEU,1
"Farron, Tim",DfE,1
"Farron, Tim",DHSC,9
"Farron, Tim",DIT,1
"Farron, Tim",DWP,1
"Farron, Tim",Home Office,6
"Farron, Tim",MHCLG,5
"Farron, Tim",Ministry of Justice,3
"Farron, Tim",Prime Minister,8
"Farron, Tim",Treasury,5
"Fellows, Marion",BEIS,2
"Fellows, Marion",DDCMS,2
"Fellows, Marion",Department for Transport,4
"Fellows, Marion",DeXEU,6
"Fellows, Marion",DHSC,1
"Fellows, Marion",DWP,4
"Fellows, Marion",FCO,2
"Fellows, Marion",Home Office,2
"Fellows, Marion",House of Commons Commission,2
"Fellows, Marion",Ministry of Defence,2
"Fellows, Marion",Ministry of Justice,2
"Fellows, Marion",Northern Ireland Office,4
"Fellows, Marion",Prime Minister,10
"Fellows, Marion",Scotland Office,3
"Fellows, Marion",Wales Office,4
"Field, Frank",BEIS,3
"Field, Frank",Church Commissioners,2
"Field, Frank",DfE,4
"Field, Frank",DHSC,1
"Field, Frank",DWP,13
"Field, Frank",Home Office,1
"Field, Frank",Ministry of Defence,2
"Field, Frank",Prime Minister,3
"Field, Frank",Wales Office,2
"Fitzpatrick, Jim",MHCLG,1
"Fletcher, Colleen",BEIS,2
"Fletcher, Colleen",DEFRA,1
"Fletcher, Colleen",DWP,2
"Fletcher, Colleen",Home Office,2
"Fletcher, Colleen",MHCLG,5
"Fletcher, Colleen",Minister for Women and Equalities,1
"Fletcher, Colleen",Prime Minister,9
"Flint, Caroline",BEIS,2
"Flint, Caroline",DDCMS,1
"Flint, Caroline",DHSC,1
"Flint, Caroline",DWP,1
"Flint, Caroline",Ministry of Justice,1
"Flint, Caroline",Prime Minister,10
"Flynn, Paul",Attorney General,1
"Flynn, Paul",Cabinet Office,1
"Flynn, Paul",DeXEU,1
"Flynn, Paul",Ministry of Defence,2
"Flynn, Paul",Wales Office,1
"Forbes, Lisa",DWP,2
"Ford, Vicky",Attorney General,3
"Ford, Vicky",BEIS,12
"Ford, Vicky",Church Commissioners,2
"Ford, Vicky",DCLG,2
"Ford, Vicky",DDCMS,7
"Ford, Vicky",DEFRA,12
"Ford, Vicky",Department for Transport,6
"Ford, Vicky",DeXEU,7
"Ford, Vicky",DfE,9
"Ford, Vicky",DfID,6
"Ford, Vicky",DHSC,9
"Ford, Vicky",DIT,6
"Ford, Vicky",DWP,11
"Ford, Vicky",FCO,3
"Ford, Vicky",Home Office,6
"Ford, Vicky",MHCLG,8
"Ford, Vicky",Minister for Women and Equalities,10
"Ford, Vicky",Ministry of Defence,6
"Ford, Vicky",Ministry of Justice,18
"Ford, Vicky",Northern Ireland Office,8
"Ford, Vicky",Prime Minister,14
"Ford, Vicky",Treasury,13
"Foster, Kevin",Attorney General,1
"Foster, Kevin",BEIS,10
"Foster, Kevin",Cabinet Office,2
"Foster, Kevin",Church Commissioners,8
"Foster, Kevin",DCMS,1
"Foster, Kevin",DDCMS,6
"Foster, Kevin",DEFRA,5
"Foster, Kevin",Department for Transport,13
"Foster, Kevin",DeXEU,6
"Foster, Kevin",DfE,6
"Foster, Kevin",DfID,9
"Foster, Kevin",DHSC,4
"Foster, Kevin",DIT,9
"Foster, Kevin",DWP,10
"Foster, Kevin",Electoral Commission,2
"Foster, Kevin",FCO,7
"Foster, Kevin",Home Office,4
"Foster, Kevin",MHCLG,12
"Foster, Kevin",Minister for Women and Equalities,5
"Foster, Kevin",Ministry of Defence,10
"Foster, Kevin",Ministry of Justice,6
"Foster, Kevin",Northern Ireland Office,3
"Foster, Kevin",Prime Minister,8
"Foster, Kevin",Scotland Office,10
"Foster, Kevin",Treasury,4
"Foster, Kevin",Wales Office,9
"Fovargue, Yvonne",DCLG,2
"Fovargue, Yvonne",DHSC,2
"Fovargue, Yvonne",DWP,4
"Fovargue, Yvonne",Home Office,2
"Fovargue, Yvonne",MHCLG,10
"Fovargue, Yvonne",Ministry of Justice,2
"Fovargue, Yvonne",Prime Minister,2
"Fovargue, Yvonne",Treasury,1
"Foxcroft, Vicky",BEIS,2
"Foxcroft, Vicky",Cabinet Office,6
"Foxcroft, Vicky",Church Commissioners,2
"Foxcroft, Vicky",DCLG,2
"Foxcroft, Vicky",DDCMS,5
"Foxcroft, Vicky",DEFRA,2
"Foxcroft, Vicky",DeXEU,10
"Foxcroft, Vicky",DfE,7
"Foxcroft, Vicky",DfID,2
"Foxcroft, Vicky",DHSC,4
"Foxcroft, Vicky",DWP,2
"Foxcroft, Vicky",FCO,2
"Foxcroft, Vicky",Home Office,8
"Foxcroft, Vicky",MHCLG,4
"Foxcroft, Vicky",Minister for Women and Equalities,8
"Foxcroft, Vicky",Ministry of Defence,2
"Foxcroft, Vicky",Ministry of Justice,4
"Foxcroft, Vicky",Prime Minister,10
"Foxcroft, Vicky",Treasury,2
"Foxcroft, Vicky",Wales Office,2
"Francois, Mark",Attorney General,2
"Francois, Mark",DHSC,3
"Francois, Mark",Home Office,2
"Francois, Mark",Ministry of Defence,11
"Francois, Mark",Northern Ireland Office,5
"Francois, Mark",Prime Minister,8
"Frazer, Lucy",BEIS,1
"Frazer, Lucy",DDCMS,2
"Frazer, Lucy",Department for Transport,1
"Frazer, Lucy",DeXEU,1
"Frazer, Lucy",DfE,2
"Frazer, Lucy",DWP,1
"Frazer, Lucy",Home Office,5
"Frazer, Lucy",MHCLG,1
"Frazer, Lucy",Minister for Women and Equalities,1
"Frazer, Lucy",Prime Minister,2
"Frazer, Lucy",Treasury,2
"Freeman, George",Attorney General,2
"Freeman, George",BEIS,1
"Freeman, George",DfE,2
"Freeman, George",DHSC,3
"Freeman, George",FCO,2
"Freeman, George",Prime Minister,6
"Freeman, George",Treasury,1
"Frith, James",BEIS,6
"Frith, James",DEFRA,2
"Frith, James",Department of Health,1
"Frith, James",DfE,9
"Frith, James",DHSC,5
"Frith, James",Home Office,2
"Frith, James",Minister for Women and Equalities,2
"Frith, James",Prime Minister,3
"Frith, James",Treasury,4
"Furniss, Gill",BEIS,10
"Furniss, Gill",Cabinet Office,2
"Furniss, Gill",DCLG,2
"Furniss, Gill",DDCMS,2
"Furniss, Gill",DEFRA,2
"Furniss, Gill",Department for Transport,1
"Furniss, Gill",DeXEU,4
"Furniss, Gill",DHSC,6
"Furniss, Gill",FCO,5
"Furniss, Gill",Home Office,2
"Furniss, Gill",Minister for Women and Equalities,2
"Furniss, Gill",Ministry of Defence,6
"Furniss, Gill",Ministry of Justice,2
"Furniss, Gill",Prime Minister,11
"Furniss, Gill",Treasury,2
"Fysh, Marcus",Attorney General,1
"Fysh, Marcus",BEIS,2
"Fysh, Marcus",DDCMS,2
"Fysh, Marcus",DEFRA,1
"Fysh, Marcus",Department of Health,2
"Fysh, Marcus",DeXEU,1
"Fysh, Marcus",DfE,4
"Fysh, Marcus",DfID,1
"Fysh, Marcus",DHSC,5
"Fysh, Marcus",DIT,4
"Fysh, Marcus",DWP,2
"Fysh, Marcus",Electoral Commission,1
"Fysh, Marcus",FCO,6
"Fysh, Marcus",MHCLG,4
"Fysh, Marcus",Ministry of Defence,6
"Fysh, Marcus",Ministry of Justice,4
"Fysh, Marcus",Northern Ireland Office,1
"Fysh, Marcus",Prime Minister,4
"Gaffney, Hugh",BEIS,6
"Gaffney, Hugh",DeXEU,6
"Gaffney, Hugh",DIT,2
"Gaffney, Hugh",DWP,2
"Gaffney, Hugh",FCO,4
"Gaffney, Hugh",Ministry of Defence,8
"Gaffney, Hugh",Prime Minister,6
"Gaffney, Hugh",Scotland Office,6
"Gaffney, Hugh",Wales Office,2
"Gale, Roger",DHSC,4
"Gale, Roger",Home Office,4
"Gale, Roger",Ministry of Defence,1
"Gale, Roger",Prime Minister,4
"Gale, Roger",Wales Office,1
"Gapes, Mike",DfID,1
"Gapes, Mike",DHSC,5
"Gapes, Mike",FCO,5
"Gapes, Mike",Ministry of Defence,1
"Gardiner, Barry",BEIS,10
"Gardiner, Barry",DIT,20
"Garnier, Mark",BEIS,2
"Garnier, Mark",Department for Transport,2
"Garnier, Mark",FCO,1
"Garnier, Mark",MHCLG,2
"Garnier, Mark",Treasury,1
"Gauke, David",Wales Office,1
"George, Ruth",BEIS,13
"George, Ruth",Cabinet Office,4
"George, Ruth",DCLG,1
"George, Ruth",DDCMS,1
"George, Ruth",Department for Transport,2
"George, Ruth",Department of Health,1
"George, Ruth",DeXEU,4
"George, Ruth",DfE,9
"George, Ruth",DHSC,9
"George, Ruth",DWP,14
"George, Ruth",FCO,4
"George, Ruth",Home Office,5
"George, Ruth",MHCLG,6
"George, Ruth",Minister for Women and Equalities,1
"George, Ruth",Ministry of Justice,12
"George, Ruth",Prime Minister,6
"George, Ruth",Scotland Office,4
"George, Ruth",Treasury,11
"George, Ruth",Wales Office,5
"Gethins, Stephen",BEIS,6
"Gethins, Stephen",DEFRA,2
"Gethins, Stephen",DeXEU,7
"Gethins, Stephen",DfID,5
"Gethins, Stephen",DHSC,2
"Gethins, Stephen",DIT,1
"Gethins, Stephen",FCO,32
"Gethins, Stephen",Ministry of Defence,2
"Gethins, Stephen",Northern Ireland Office,4
"Gethins, Stephen",Prime Minister,6
"Gethins, Stephen",Scotland Office,4
"Gethins, Stephen",Treasury,4
"Gethins, Stephen",Wales Office,2
"Ghani, Nusrat",Attorney General,3
"Ghani, Nusrat",Cabinet Office,1
"Ghani, Nusrat",DCLG,1
"Ghani, Nusrat",DDCMS,2
"Ghani, Nusrat",DEFRA,2
"Ghani, Nusrat",Department for Transport,1
"Ghani, Nusrat",Department of Health,2
"Ghani, Nusrat",DfE,2
"Ghani, Nusrat",DWP,2
"Ghani, Nusrat",FCO,2
"Ghani, Nusrat",MHCLG,1
"Ghani, Nusrat",Minister for Women and Equalities,1
"Ghani, Nusrat",Ministry of Defence,1
"Ghani, Nusrat",Ministry of Justice,2
"Ghani, Nusrat",Northern Ireland Office,1
"Ghani, Nusrat",Prime Minister,3
"Ghani, Nusrat",Treasury,2
"Gibson, Patricia",Attorney General,4
"Gibson, Patricia",BEIS,4
"Gibson, Patricia",DDCMS,2
"Gibson, Patricia",Department for Transport,1
"Gibson, Patricia",DeXEU,7
"Gibson, Patricia",DfE,2
"Gibson, Patricia",DfID,2
"Gibson, Patricia",DHSC,4
"Gibson, Patricia",DIT,2
"Gibson, Patricia",DWP,7
"Gibson, Patricia",Electoral Commission,2
"Gibson, Patricia",FCO,2
"Gibson, Patricia",Home Office,2
"Gibson, Patricia",Minister for Women and Equalities,2
"Gibson, Patricia",Ministry of Defence,2
"Gibson, Patricia",Northern Ireland Office,2
"Gibson, Patricia",Prime Minister,5
"Gibson, Patricia",Scotland Office,3
"Gibson, Patricia",Treasury,3
"Gill, Preet Kaur",BEIS,5
"Gill, Preet Kaur",Cabinet Office,2
"Gill, Preet Kaur",Department of Health,2
"Gill, Preet Kaur",DfE,2
"Gill, Preet Kaur",DfID,9
"Gill, Preet Kaur",Home Office,4
"Gill, Preet Kaur",MHCLG,5
"Gill, Preet Kaur",Ministry of Defence,2
"Gill, Preet Kaur",Ministry of Justice,8
"Gill, Preet Kaur",Northern Ireland Office,2
"Gill, Preet Kaur",Prime Minister,2
"Gill, Preet Kaur",Treasury,6
"Gillan, Cheryl",Cabinet Office,2
"Gillan, Cheryl",Church Commissioners,2
"Gillan, Cheryl",DEFRA,4
"Gillan, Cheryl",Department for Transport,9
"Gillan, Cheryl",DHSC,2
